反応集男（渋め）, こいつの恨み節飽きた  単なる糖質だろもうw 
反応集男（高め）, パシリのパーシー議員 
反応集男（遅め）, 昔の話でガタガタ言うチョン思考 
反応集男, ワロタ 
反応集女, ここまでいくとこれは癖だな  脅迫癖だ 
反応集男（渋め）, 陣内嫌いなのか？w 
反応集男（高め）, なに言ってんだ  もう国際指名手配しろよ 
反応集男（遅め）, はい、陣内めくられますw 
反応集男, 陣内ビクビクw 
反応集女, ワロタ 
反応集男（渋め）, >>20  ウワサ好きの男子かw 
反応集男（高め）, 別にアテンドしたからって何？  それとこれは別だろ  陣内が違法行為してんなら分かるけどそのアテンドは違法なの？ 
反応集男（遅め）, もうこのおっさんの昔話はいいよ  何一つ影響ねえし  とりあえず議員報酬全額返せよ 
反応集男, >>1  また脅迫かよそれで捜査されてるのに 
反応集女, だから言ってるだろKの法則って  関わったらダメなんだよ 
反応集男（渋め）, 陣内智則終わったな 
反応集男（高め）, 人間関係を金に変えるやつに言われてもねー 
反応集男（遅め）, 国民が喜ぶと勘違いしてる三流芸能レポーター的な暴露、  ただの詐欺師じゃないのか 
