反応集女, 国民栄誉賞を陳腐なモンにした奴が偉そうだな！ 
反応集男（渋め）, >>32  引っ張りにしか飛ばせず外角の球引っ掛けてゴロ連発して苦戦してたもんな  そう考えると同じ右効き左打ちなのに軽々と広角にブチ込む大谷の凄さが際立つ 
反応集男（高め）, >>18  うーん素晴らしいコメント  老害とは全然ちゃう 
反応集男（遅め）, Aロッドはポーンと打ち返した逆方向の打球がグングン伸びていって凄かった。 
反応集男, >>26  そんな奴いくらでもいるだろ  イチローや大谷だってそうだし 
反応集女, 才能だけなら巨人時代も高橋・阿部のほうが上だった 
反応集男（渋め）, イチローみたいなアへ単は眼中に無いんだな 
反応集男（高め）, >>19  糖質コルチコイド、鉱質コルチコイド、アンドロゲンを調べるんだ 
反応集男（遅め）, ステロイド全盛期のメジャーでノーノー2回達成した野茂はバケモノ 
反応集男, >>48  イチローがいくらアへ単打ってもマリナーズは弱かったし  ホームランは正義だわ  松井はメジャー1年目から100打点 
反応集女, センスの欠片もねえ奴がパワー負けとか   もう分かったろお前等？（笑） 
反応集男（渋め）, Numberのコラムによると、Aロッドは高校時代から薬を 
反応集男（高め）, 東京ドームができた1988年以降の巨人で50本打ったのは松井だけ 
反応集男（遅め）, >>48  全盛期イチローに打率で勝ったことあるのは  2005年の松井だけ。 
反応集男, 松井はステロイド使わなかったのかな 
反応集女, 松井と清原だと清原の方が才能は上っていう人結構いるみたいだね  記録は松井の方が上だと思うんだけど、分からんもんだね  才能が上なら記録もついてくると思うんだけどそういうわけでもないのかな 
反応集男（渋め）, >>44  立派すぎて焼肉のアシスト入ってるだろコレ 
反応集男（高め）, AV親衛隊のＨＰも結婚したら亡くなっちまったな 
反応集男（遅め）, >>7  アホかいね 
反応集男, >>57  松井はちゃんと練習してたでしょ  娯楽はエロビくらいで  そんだけ 
反応集女, >>36  錦鯉の渡辺と双璧を成す隠れAV評論家 
反応集男（渋め）, >>27  ＞4 → 10 青木   ……あっ！？ 
